Year,Cash Flow (THB),Accumulated Cash Flow (THB)
0,-14320000,-14320000
1,7870000,-6450000
2,7870000,1420000
3,7870000,9290000
4,7870000,17160000
5,7870000,25030000
6,7870000,32900000
7,7870000,40770000
8,7870000,48640000
9,7870000,56510000
10,7870000,64380000
