Year,Cash Flow (THB),Accumulated Cash Flow (THB)
0,-30000000.0,-30000000.0
1,11560000.0,-18440000.0
2,11560000.0,-6880000.0
3,11560000.0,4680000.0
4,11560000.0,16240000.0
5,11560000.0,27800000.0
6,11560000.0,39360000.0
7,11560000.0,50920000.0
8,11560000.0,62480000.0
9,11560000.0,74040000.0
10,11560000.0,85600000.0
